id,title,episodes_info,rate,cover_x,url,playable,cover,cover_y,is_new
34450521,剧场版 美少女战士Eternal 后篇,null,6.9,2532,https://movie.douban.com/subject/34450521/,false,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2630021619.webp,3582,false
33422436,恋途未卜,null,6.5,640,https://movie.douban.com/subject/33422436/,false,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2590497149.webp,905,false
34926624,妄想学生会2 剧场版,null,8.0,1164,https://movie.douban.com/subject/34926624/,false,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2612736283.webp,1600,false
33395862,虽然只是弄丢了手机2,null,5.6,1450,https://movie.douban.com/subject/33395862/,false,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2572934998.webp,2048,false
30384340,福岛50死士,null,5.2,1451,https://movie.douban.com/subject/30384340/,true,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2578338706.webp,2048,false
35209742,正经乐队的糊涂战争,null,7.1,750,https://movie.douban.com/subject/35209742/,false,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2629007358.webp,1060,false
33377790,寻找见习魔女,null,7.1,640,https://movie.douban.com/subject/33377790/,false,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2590269606.webp,905,false
34964018,安乐死医师的遗产,null,5.5,750,https://movie.douban.com/subject/34964018/,false,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2616822703.webp,1060,false
34801934,无名世界的终结,null,6.6,750,https://movie.douban.com/subject/34801934/,false,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2623481617.webp,1061,false
34906756,从来没有开枪,null,6.4,640,https://movie.douban.com/subject/34906756/,false,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2582431598.webp,906,false
34963400,椿之庭,null,7.2,750,https://movie.douban.com/subject/34963400/,false,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2621524165.webp,1061,false
34954086,那个时候～男子喧闹物语,null,6.0,1000,https://movie.douban.com/subject/34954086/,false,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2627312726.webp,1416,false
